#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr17_GL000205v2_random	1	185591	2994	46257	24.9242	1.59707	33.7	54.6
chr17_KI270729v1_random	1	280839	2983	40425	14.3944	0.865207	33.3	24.7
chr17_KI270730v1_random	1	112551	552	18157	16.1322	0.345897	33.7	19.8
chr22_KI270731v1_random	1	150754	17292	38466	25.5157	11.326	34.2	6.64
chr22_KI270732v1_random	1	41543	222	13935	33.5436	0.526274	33.3	40
chr22_KI270733v1_random	1	179772	6968	64899	36.1007	3.72216	33.4	11.4
chr22_KI270734v1_random	1	165050	20680	49572	30.0345	12.3625	34.1	16
chr22_KI270735v1_random	1	42811	324	10945	25.5659	0.64049	33.3	28.9
chr22_KI270736v1_random	1	181920	1312	35562	19.5482	0.438462	33.6	21.5
chr22_KI270737v1_random	1	103838	245	6730	6.48125	0.172865	33.1	3.94
chr22_KI270738v1_random	1	99375	396	9658	9.71874	0.389525	33.4	35.5
chr22_KI270739v1_random	1	73985	39	2632	3.55748	0.0501453	33.1	4.46
chrUn_KI270302v1	1	2274	4	259	11.3896	0.146878	34	0
chrUn_KI270304v1	1	2165	4	209	9.65358	0.134873	33.4	0
chrUn_KI270303v1	1	1942	10	241	12.4099	0.505664	33.8	6.8
chrUn_KI270305v1	1	1472	2	123	8.35598	0.137228	33.1	0
chrUn_KI270322v1	1	21476	12	481	2.23971	0.0546657	33.8	1.17
chrUn_KI270320v1	1	4416	10	521	11.798	0.20154	33.4	4
chrUn_KI270310v1	1	1201	6	296	24.6461	0.499584	33.8	14.7
chrUn_KI270312v1	1	998	2	179	17.9359	0.202405	26.4	0
chrUn_KI270311v1	1	12399	2	159	1.28236	0.0162916	32.5	60
chrUn_KI270317v1	1	37690	2	56	0.148581	0.00297161	33.8	0
chrUn_KI270412v1	1	1179	4	277	23.4945	0.342663	33.6	0
chrUn_KI270411v1	1	2646	8	531	20.068	0.305367	33.5	0
chrUn_KI270414v1	1	2489	6	267	10.7272	0.192849	33.9	0.333
chrUn_KI270418v1	1	2145	2	135	6.29371	0.0941725	34	48.5
chrUn_KI270420v1	1	2321	4	362	15.5967	0.174063	33.9	44.2
chrUn_KI270424v1	1	2140	4	326	15.2336	0.188785	33.9	27.5
chrUn_KI270422v1	1	1445	6	288	19.9308	0.331488	33.9	23.2
chrUn_KI270423v1	1	981	4	250	25.4842	0.411825	33.9	27.5
chrUn_KI270425v1	1	1884	2	151	8.01486	0.107219	34.1	27
chrUn_KI270442v1	1	392061	3581	85267	21.7484	0.812402	33.4	38.7
chrUn_KI270466v1	1	1233	212	1231	99.8378	15.0284	32.1	31.7
chrUn_KI270465v1	1	1774	4	231	13.0214	0.227734	33.9	42.5
chrUn_KI270467v1	1	3920	894	2815	71.8112	19.9579	32.1	42.1
chrUn_KI270435v1	1	92983	259	15071	16.2083	0.247454	33.5	36.6
chrUn_KI270438v1	1	112505	7110	29418	26.1482	5.89318	33.1	27.3
chrUn_KI270468v1	1	4055	6	334	8.23674	0.143033	33.8	36.5
chrUn_KI270510v1	1	2415	19	966	40	0.701863	33.5	39.1
chrUn_KI270509v1	1	2318	8	191	8.23986	0.342537	33.2	60
chrUn_KI270518v1	1	2186	8	652	29.8262	0.357274	33.1	39.8
chrUn_KI270508v1	1	1951	16	567	29.062	0.752947	34	41.4
chrUn_KI270516v1	1	1300	5	348	26.7692	0.388462	33.8	50.8
chrUn_KI270512v1	1	22689	66	2933	12.927	0.219269	33.8	21.7
chrUn_KI270519v1	1	138126	423	25045	18.132	0.283886	33.5	41.3
chrUn_KI270522v1	1	5674	6	511	9.00599	0.106803	31	35.3
chrUn_KI270511v1	1	8127	12	704	8.66248	0.148148	33.9	55.2
chrUn_KI270515v1	1	6361	34	1812	28.4861	0.487188	33.4	51.7
chrUn_KI270507v1	1	5353	19	1270	23.725	0.344293	33	50.8
chrUn_KI270517v1	1	3253	28	1561	47.9865	0.856133	33.7	45.4
chrUn_KI270529v1	1	1899	2	109	5.73986	0.106372	33.9	27
chrUn_KI270528v1	1	2983	2	181	6.06772	0.0677171	33.2	0
chrUn_KI270530v1	1	2168	2	202	9.31734	0.0931734	33.6	43.5
chrUn_KI270538v1	1	91309	216	11153	12.2146	0.228586	33.6	34.8
chrUn_KI270544v1	1	1202	10	415	34.5258	0.840266	32.9	0
chrUn_KI270583v1	1	1400	12	612	43.7143	0.832143	32.6	48.2
chrUn_KI270587v1	1	2969	6	431	14.5167	0.196362	32.5	52.5
chrUn_KI270580v1	1	1553	2	172	11.0753	0.130071	26.8	53.5
chrUn_KI270581v1	1	7046	16	867	12.3049	0.197275	33.8	3.38
chrUn_KI270579v1	1	31033	31	2574	8.2944	0.0978313	33.2	4.77
chrUn_KI270589v1	1	44474	133	6227	14.0014	0.242816	33.6	18.8
chrUn_KI270590v1	1	4685	11	664	14.1729	0.210672	33.7	38.2
chrUn_KI270584v1	1	4513	9	744	16.4857	0.201418	32.6	51.8
chrUn_KI270582v1	1	6504	20	1343	20.6488	0.300431	33.8	10
chrUn_KI270588v1	1	6158	10	716	11.6272	0.164014	33.6	49.4
chrUn_KI270593v1	1	3041	4	260	8.54982	0.132851	33.9	52.2
chrUn_KI270591v1	1	5796	34	1480	25.5349	0.500173	33.9	39.5
chrUn_KI270330v1	1	1652	60	1016	61.5012	3.61017	33.1	32.1
chrUn_KI270334v1	1	1368	4	359	26.2427	0.295322	33.5	0
chrUn_KI270333v1	1	2699	113	1996	73.9533	3.47684	32.3	16.8
chrUn_KI270340v1	1	1428	2	142	9.94398	0.141457	33.7	0
chrUn_KI270336v1	1	1026	38	694	67.6413	2.81092	32.3	23.5
chrUn_KI270337v1	1	1121	125	882	78.6798	9.5843	32.4	19
chrUn_KI270363v1	1	1803	6	259	14.3649	0.336106	33.8	40.8
chrUn_KI270364v1	1	2855	5	294	10.2977	0.16007	33.7	0
chrUn_KI270366v1	1	8320	10	598	7.1875	0.101442	33.6	5.4
chrUn_KI270389v1	1	1298	2	179	13.7904	0.155624	31.9	0
chrUn_KI270387v1	1	1537	2	202	13.1425	0.131425	33.7	40
chrUn_KI270395v1	1	1143	2	202	17.6728	0.176728	33.8	45
chrUn_KI270396v1	1	1880	4	403	21.4362	0.214894	33.9	0
chrUn_KI270386v1	1	1788	2	202	11.2975	0.112975	33.9	0
chrUn_KI270391v1	1	1484	2	78	5.25606	0.105121	33.7	0
chrUn_KI270384v1	1	1658	2	112	6.75513	0.121834	33.7	0
chrUn_KI270381v1	1	1930	2	165	8.54922	0.104663	33.6	0
chrUn_KI270385v1	1	990	2	87	8.78788	0.175758	33.8	0
chrUn_KI270382v1	1	4215	2	111	2.63345	0.0479241	33.6	0
chrUn_KI270374v1	1	2656	2	82	3.08735	0.061747	34	0
chrUn_KI270448v1	1	7992	14	864	10.8108	0.176927	33.8	52.3
chrUn_KI270521v1	1	7642	6	373	4.88092	0.0764198	33.9	58.3
chrUn_GL000195v1	1	182896	777	34575	18.9042	0.412901	33.5	17.7
chrUn_GL000219v1	1	179198	1193	29135	16.2586	0.644678	33.5	37.3
chrUn_GL000220v1	1	161802	6048	61368	37.9278	3.57407	33.3	3.06
chrUn_GL000224v1	1	179693	1905	42827	23.8334	1.02821	33.8	30.7
chrUn_KI270741v1	1	157432	153	9419	5.9829	0.0908519	33.7	1.84
chrUn_GL000226v1	1	15008	345	11089	73.8873	2.28005	33.6	0.539
chrUn_GL000213v1	1	164239	2309	18498	11.2629	1.39965	33.5	6.9
chrUn_KI270743v1	1	210658	1579	51173	24.292	0.736649	33.6	19.9
chrUn_KI270744v1	1	168472	7663	71900	42.6777	4.52151	33.4	21.4
chrUn_KI270745v1	1	41891	13321	19488	46.5207	31.2345	34.2	15.7
chrUn_KI270746v1	1	66486	6474	23888	35.9294	9.76869	33.3	39.9
chrUn_KI270747v1	1	198735	177	12158	6.11769	0.0835686	33.3	6.38
chrUn_KI270748v1	1	93321	310	11335	12.1462	0.324814	33.8	2.51
chrUn_KI270749v1	1	158759	813	26209	16.5087	0.510428	33.3	26.9
chrUn_KI270750v1	1	148850	3676	27023	18.1545	2.45664	33.9	26.3
chrUn_KI270751v1	1	150742	3428	51305	34.035	2.25624	33.3	4.2
chrUn_KI270753v1	1	62944	167	9351	14.8561	0.250238	33.8	16.8
chrUn_KI270754v1	1	40191	506	13427	33.408	1.21174	33.9	8.87
chrUn_KI270755v1	1	36723	36	2116	5.76206	0.0887182	33.8	13.3
chrUn_KI270756v1	1	79590	206	8098	10.1746	0.168853	33.3	12.4
chrUn_KI270757v1	1	71251	268	13720	19.2559	0.340992	33.6	32.8
chrUn_GL000214v1	1	137718	3472	49204	35.7281	2.5104	33.4	1.29
chrUn_KI270742v1	1	186739	9934	70159	37.5706	5.33512	33.2	13.9
chrUn_GL000216v2	1	176608	3088	59977	33.9605	1.43723	33.6	19.4
chrUn_GL000218v1	1	161147	4707	49658	30.8153	2.89068	33.9	39.2
chrEBV	1	171823	16591	158922	92.4917	9.12815	33.7	46.9
chrY_KI270740v1_random	1	37240	0	0	0	0	0	0
chrUn_KI270316v1	1	1444	0	0	0	0	0	0
chrUn_KI270315v1	1	2276	0	0	0	0	0	0
chrUn_KI270419v1	1	1029	0	0	0	0	0	0
chrUn_KI270417v1	1	2043	0	0	0	0	0	0
chrUn_KI270429v1	1	1361	0	0	0	0	0	0
chrUn_KI270539v1	1	993	0	0	0	0	0	0
chrUn_KI270548v1	1	1599	0	0	0	0	0	0
chrUn_KI270329v1	1	1040	0	0	0	0	0	0
chrUn_KI270335v1	1	1048	0	0	0	0	0	0
chrUn_KI270338v1	1	1428	0	0	0	0	0	0
chrUn_KI270362v1	1	3530	0	0	0	0	0	0
chrUn_KI270378v1	1	1048	0	0	0	0	0	0
chrUn_KI270379v1	1	1045	0	0	0	0	0	0
chrUn_KI270390v1	1	2387	0	0	0	0	0	0
chrUn_KI270388v1	1	1216	0	0	0	0	0	0
chrUn_KI270394v1	1	970	0	0	0	0	0	0
chrUn_KI270383v1	1	1750	0	0	0	0	0	0
chrUn_KI270393v1	1	1308	0	0	0	0	0	0
chrUn_KI270392v1	1	971	0	0	0	0	0	0
chrUn_KI270376v1	1	1136	0	0	0	0	0	0
chrUn_KI270372v1	1	1650	0	0	0	0	0	0
chrUn_KI270373v1	1	1451	0	0	0	0	0	0
chrUn_KI270375v1	1	2378	0	0	0	0	0	0
chrUn_KI270371v1	1	2805	0	0	0	0	0	0
chrUn_KI270752v1	1	27745	0	0	0	0	0	0
