# This file was produced by bcftools stats (1.24+htslib-1.24) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  results/variants/NIST7035_filtered_variants.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	results/variants/NIST7035_filtered_variants.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
#
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
#
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	1
SN	0	number of records:	283102
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	249261
SN	0	number of MNPs:	0
SN	0	number of indels:	33879
SN	0	number of others:	0
SN	0	number of multiallelic sites:	757
SN	0	number of multiallelic SNP sites:	60
# TSTV, transitions/transversions
#   - transitions, see https://en.wikipedia.org/wiki/Transition_(genetics)
#   - transversions, see https://en.wikipedia.org/wiki/Transversion
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	149710	99611	1.50	149656	99518	1.50
# SiS, Singleton stats:
#   - allele count, i.e. the number of singleton genotypes (AC=1)
#   - number of transitions, see above
#   - number of transversions, see above
#   - repeat-consistent, inconsistent and n/a: experimental and useless stats [DEPRECATED]
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	72374	46949	25425	12558	0	0	12558
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	72374	46949	25425	12558	0	0	12558
AF	0	0.990000	176947	102761	74186	21859	0	0	21859
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	39.8	1	1	0	1
QUAL	0	39.9	0	0	0	6
QUAL	0	40.2	0	0	0	716
QUAL	0	40.3	15	11	4	0
QUAL	0	40.5	0	0	0	1
QUAL	0	40.6	190	105	85	161
QUAL	0	40.8	0	0	0	7
QUAL	0	40.9	1	0	1	0
QUAL	0	41.1	0	0	0	5
QUAL	0	41.2	0	0	0	674
QUAL	0	41.3	8	4	4	0
QUAL	0	41.5	0	0	0	1
QUAL	0	41.6	131	74	57	80
QUAL	0	41.8	0	0	0	3
QUAL	0	41.9	1	1	0	0
QUAL	0	42.2	0	0	0	306
QUAL	0	42.3	11	8	3	0
QUAL	0	42.4	0	0	0	2
QUAL	0	42.6	160	99	61	88
QUAL	0	42.7	0	0	0	1
QUAL	0	42.8	1	1	0	4
QUAL	0	43.0	1	1	0	0
QUAL	0	43.2	0	0	0	24
QUAL	0	43.3	34	20	14	0
QUAL	0	43.6	241	135	106	108
QUAL	0	43.8	0	0	0	1
QUAL	0	43.9	0	0	0	1
QUAL	0	44.2	0	0	0	1165
QUAL	0	44.3	8	6	2	0
QUAL	0	44.6	202	125	77	99
QUAL	0	44.8	1	0	1	1
QUAL	0	45.0	2	0	2	0
QUAL	0	45.1	0	0	0	1
QUAL	0	45.2	0	0	0	813
QUAL	0	45.3	27	21	6	0
QUAL	0	45.6	213	123	90	86
QUAL	0	45.8	25	17	8	8
QUAL	0	46.2	0	0	0	316
QUAL	0	46.3	35	21	14	0
QUAL	0	46.4	1	0	1	0
QUAL	0	46.5	1	0	1	2
QUAL	0	46.6	277	179	98	79
QUAL	0	46.7	0	0	0	1
QUAL	0	46.8	0	0	0	3
QUAL	0	47.0	1	0	1	0
QUAL	0	47.2	0	0	0	20
QUAL	0	47.3	49	23	26	0
QUAL	0	47.5	2	2	0	0
QUAL	0	47.6	252	160	92	69
QUAL	0	47.7	0	0	0	1
QUAL	0	47.8	0	0	0	2
QUAL	0	48.2	0	0	0	312
QUAL	0	48.3	39	22	17	0
QUAL	0	48.6	294	204	90	72
QUAL	0	48.7	0	0	0	1
QUAL	0	48.8	1	1	0	7
QUAL	0	48.9	0	0	0	1
QUAL	0	49.2	0	0	0	462
QUAL	0	49.3	27	16	11	0
QUAL	0	49.5	0	0	0	1
QUAL	0	49.6	332	212	120	95
QUAL	0	49.8	0	0	0	5
QUAL	0	50.2	0	0	0	329
QUAL	0	50.3	32	14	18	0
QUAL	0	50.5	0	0	0	1
QUAL	0	50.6	308	206	102	60
QUAL	0	50.7	1	1	0	1
QUAL	0	50.8	1	0	1	3
QUAL	0	51.0	2	1	1	0
QUAL	0	51.2	1	1	0	98
QUAL	0	51.3	41	20	21	0
QUAL	0	51.5	1	1	0	1
QUAL	0	51.6	270	180	90	78
QUAL	0	51.8	1	1	0	0
QUAL	0	51.9	1	1	0	0
QUAL	0	52.0	1	0	1	0
QUAL	0	52.1	1	0	1	0
QUAL	0	52.2	0	0	0	225
QUAL	0	52.3	114	79	35	0
QUAL	0	52.5	0	0	0	2
QUAL	0	52.6	389	251	138	92
QUAL	0	52.8	0	0	0	7
QUAL	0	52.9	1	1	0	0
QUAL	0	53.0	3	1	2	0
QUAL	0	53.2	0	0	0	268
QUAL	0	53.3	53	33	20	0
QUAL	0	53.5	0	0	0	4
QUAL	0	53.6	362	233	129	70
QUAL	0	53.7	0	0	0	1
QUAL	0	53.8	3	2	1	0
QUAL	0	53.9	0	0	0	2
QUAL	0	54.0	1	0	1	0
QUAL	0	54.2	0	0	0	83
QUAL	0	54.3	76	54	22	0
QUAL	0	54.5	0	0	0	2
QUAL	0	54.6	347	242	105	85
QUAL	0	54.7	2	1	1	0
QUAL	0	54.8	5	4	1	0
QUAL	0	54.9	1	0	1	0
QUAL	0	55.1	1	1	0	0
QUAL	0	55.2	1	0	1	125
QUAL	0	55.3	122	88	34	0
QUAL	0	55.5	0	0	0	1
QUAL	0	55.6	412	262	150	97
QUAL	0	55.7	1	0	1	1
QUAL	0	55.8	0	0	0	2
QUAL	0	55.9	1	0	1	1
QUAL	0	56.0	0	0	0	1
QUAL	0	56.2	0	0	0	48
QUAL	0	56.3	256	183	73	0
QUAL	0	56.6	311	216	95	68
QUAL	0	56.8	6	5	1	3
QUAL	0	57.0	0	0	0	1
QUAL	0	57.1	0	0	0	1
QUAL	0	57.2	1	0	1	365
QUAL	0	57.3	505	363	142	0
QUAL	0	57.4	0	0	0	1
QUAL	0	57.5	0	0	0	1
QUAL	0	57.6	271	175	96	57
QUAL	0	57.7	1	1	0	0
QUAL	0	57.8	3	2	1	1
QUAL	0	57.9	0	0	0	1
QUAL	0	58.2	0	0	0	234
QUAL	0	58.3	2042	1283	759	0
QUAL	0	58.5	0	0	0	1
QUAL	0	58.6	391	257	134	137
QUAL	0	58.8	4	3	1	1
QUAL	0	58.9	1	1	0	0
QUAL	0	59.0	2	1	1	2
QUAL	0	59.2	0	0	0	417
QUAL	0	59.3	760	538	222	0
QUAL	0	59.5	0	0	0	1
QUAL	0	59.6	284	180	104	61
QUAL	0	59.7	0	0	0	1
QUAL	0	59.8	2	1	1	3
QUAL	0	59.9	0	0	0	1
QUAL	0	60.0	2	0	2	0
QUAL	0	60.1	1	0	1	0
QUAL	0	60.2	0	0	0	257
QUAL	0	60.3	754	530	224	0
QUAL	0	60.4	1	1	0	0
QUAL	0	60.6	255	163	92	68
QUAL	0	60.7	0	0	0	1
QUAL	0	60.8	28	17	11	14
QUAL	0	60.9	3	3	0	2
QUAL	0	61.0	1	1	0	0
QUAL	0	61.1	0	0	0	1
QUAL	0	61.2	0	0	0	227
QUAL	0	61.3	598	410	188	0
QUAL	0	61.4	6	4	2	0
QUAL	0	61.5	0	0	0	1
QUAL	0	61.6	328	203	125	89
QUAL	0	61.8	6	4	2	4
QUAL	0	62.0	2	1	1	1
QUAL	0	62.1	0	0	0	1
QUAL	0	62.2	0	0	0	107
QUAL	0	62.3	636	471	165	0
QUAL	0	62.5	4	0	4	1
QUAL	0	62.6	231	150	81	68
QUAL	0	62.8	8	3	5	2
QUAL	0	63.2	0	0	0	663
QUAL	0	63.3	597	415	182	1
QUAL	0	63.5	1	0	1	0
QUAL	0	63.6	251	155	96	71
QUAL	0	63.7	1	1	0	0
QUAL	0	63.8	12	7	5	1
QUAL	0	63.9	1	0	1	1
QUAL	0	64.0	1	1	0	3
QUAL	0	64.2	0	0	0	214
QUAL	0	64.3	560	393	167	0
QUAL	0	64.5	1	0	1	0
QUAL	0	64.6	421	247	174	119
QUAL	0	64.8	17	14	3	13
QUAL	0	64.9	1	0	1	2
QUAL	0	65.0	1	1	0	1
QUAL	0	65.2	0	0	0	167
QUAL	0	65.3	342	240	102	0
QUAL	0	65.5	0	0	0	3
QUAL	0	65.6	253	171	82	40
QUAL	0	65.7	0	0	0	1
QUAL	0	65.8	22	16	6	26
QUAL	0	65.9	0	0	0	2
QUAL	0	66.0	0	0	0	1
QUAL	0	66.2	1	0	1	101
QUAL	0	66.3	272	189	83	0
QUAL	0	66.5	0	0	0	1
QUAL	0	66.6	231	158	73	44
QUAL	0	66.8	20	14	6	27
QUAL	0	66.9	1	1	0	1
QUAL	0	67.0	0	0	0	2
QUAL	0	67.1	1	0	1	0
QUAL	0	67.2	0	0	0	173
QUAL	0	67.3	388	250	138	0
QUAL	0	67.6	486	291	195	102
QUAL	0	67.7	0	0	0	1
QUAL	0	67.8	67	42	25	2
QUAL	0	68.1	1	1	0	0
QUAL	0	68.2	0	0	0	104
QUAL	0	68.3	424	304	120	0
QUAL	0	68.4	0	0	0	1
QUAL	0	68.6	192	125	67	50
QUAL	0	68.7	1	0	1	2
QUAL	0	68.8	84	63	21	3
QUAL	0	69.0	0	0	0	2
QUAL	0	69.1	0	0	0	2
QUAL	0	69.2	1	0	1	516
QUAL	0	69.3	603	391	212	0
QUAL	0	69.5	0	0	0	1
QUAL	0	69.6	136	97	39	46
QUAL	0	69.7	0	0	0	1
QUAL	0	69.8	261	179	82	22
QUAL	0	69.9	0	0	0	1
QUAL	0	70.0	1	0	1	2
QUAL	0	70.1	21	16	5	1
QUAL	0	70.2	0	0	0	32
QUAL	0	70.3	675	423	252	0
QUAL	0	70.6	671	358	313	196
QUAL	0	70.7	1	1	0	0
QUAL	0	70.8	642	437	205	21
QUAL	0	70.9	3	1	2	0
QUAL	0	71.1	1	1	0	0
QUAL	0	71.2	0	0	0	30
QUAL	0	71.3	718	462	256	0
QUAL	0	71.6	137	92	45	41
QUAL	0	71.7	1	1	0	0
QUAL	0	71.8	718	513	205	40
QUAL	0	72.0	0	0	0	1
QUAL	0	72.1	0	0	0	3
QUAL	0	72.2	0	0	0	40
QUAL	0	72.3	744	470	274	0
QUAL	0	72.5	0	0	0	1
QUAL	0	72.6	139	79	60	42
QUAL	0	72.8	550	386	164	51
QUAL	0	72.9	0	0	0	1
QUAL	0	73.0	2	0	2	2
QUAL	0	73.2	0	0	0	55
QUAL	0	73.3	593	373	220	0
QUAL	0	73.4	0	0	0	1
QUAL	0	73.6	780	429	351	284
QUAL	0	73.7	2	1	1	1
QUAL	0	73.8	406	280	126	28
QUAL	0	73.9	3	1	2	1
QUAL	0	74.0	0	0	0	2
QUAL	0	74.1	0	0	0	2
QUAL	0	74.2	0	0	0	25
QUAL	0	74.3	387	249	138	0
QUAL	0	74.6	124	78	46	37
QUAL	0	74.8	197	132	65	1
QUAL	0	75.0	2	1	1	2
QUAL	0	75.1	4	2	2	7
QUAL	0	75.2	0	0	0	79
QUAL	0	75.3	117	73	44	0
QUAL	0	75.4	3	2	1	1
QUAL	0	75.5	0	0	0	1
QUAL	0	75.6	118	79	39	45
QUAL	0	75.7	2	0	2	2
QUAL	0	75.8	428	292	136	4
QUAL	0	76.0	0	0	0	3
QUAL	0	76.1	0	0	0	3
QUAL	0	76.2	0	0	0	47
QUAL	0	76.3	27	15	12	0
QUAL	0	76.5	0	0	0	2
QUAL	0	76.6	193	133	60	37
QUAL	0	76.7	3	3	0	0
QUAL	0	76.8	635	406	229	24
QUAL	0	76.9	4	3	1	2
QUAL	0	77.0	0	0	0	2
QUAL	0	77.1	1	1	0	1
QUAL	0	77.2	0	0	0	138
QUAL	0	77.3	19	15	4	0
QUAL	0	77.5	0	0	0	1
QUAL	0	77.6	181	129	52	38
QUAL	0	77.8	663	422	241	19
QUAL	0	77.9	5	3	2	0
QUAL	0	78.0	0	0	0	2
QUAL	0	78.1	0	0	0	1
QUAL	0	78.2	1	1	0	4718
QUAL	0	78.3	11060	6139	4921	0
QUAL	0	78.6	171	122	49	39
QUAL	0	78.7	0	0	0	8
QUAL	0	78.8	424	273	151	21
QUAL	0	78.9	0	0	0	2
QUAL	0	79.0	1	0	1	0
QUAL	0	79.1	0	0	0	3
QUAL	0	79.2	0	0	0	5
QUAL	0	79.3	5	4	1	0
QUAL	0	79.5	0	0	0	2
QUAL	0	79.6	157	105	52	31
QUAL	0	79.7	2	1	1	1
QUAL	0	79.8	115	67	48	29
QUAL	0	79.9	0	0	0	1
QUAL	0	80.0	0	0	0	1
QUAL	0	80.1	2	2	0	2
QUAL	0	80.4	0	0	0	1
QUAL	0	80.6	185	132	53	39
QUAL	0	80.8	39	27	12	9
QUAL	0	81.0	0	0	0	2
QUAL	0	81.1	1	1	0	4
QUAL	0	81.2	1	1	0	1
QUAL	0	81.6	201	132	69	40
QUAL	0	81.8	36	25	11	16
QUAL	0	81.9	0	0	0	1
QUAL	0	82.0	1	1	0	1
QUAL	0	82.1	1	0	1	2
QUAL	0	82.2	2	1	1	0
QUAL	0	82.5	0	0	0	1
QUAL	0	82.6	231	164	67	45
QUAL	0	82.8	10	7	3	11
QUAL	0	82.9	1	1	0	0
QUAL	0	83.1	1	0	1	3
QUAL	0	83.2	2	2	0	1
QUAL	0	83.6	204	137	67	41
QUAL	0	83.8	20	13	7	3
QUAL	0	83.9	1	0	1	0
QUAL	0	84.0	2	1	1	2
QUAL	0	84.1	12	6	6	3
QUAL	0	84.2	0	0	0	1
QUAL	0	84.3	1	1	0	0
QUAL	0	84.5	1	1	0	0
QUAL	0	84.6	227	160	67	40
QUAL	0	84.7	0	0	0	1
QUAL	0	84.8	21	13	8	27
QUAL	0	84.9	0	0	0	3
QUAL	0	85.0	0	0	0	5
QUAL	0	85.1	1275	859	416	3
QUAL	0	85.2	1	0	1	1
QUAL	0	85.3	1	1	0	0
QUAL	0	85.6	201	139	62	33
QUAL	0	85.8	29	19	10	9
QUAL	0	85.9	0	0	0	2
QUAL	0	86.0	0	0	0	1
QUAL	0	86.1	1	1	0	0
QUAL	0	86.4	0	0	0	2
QUAL	0	86.6	226	154	72	46
QUAL	0	86.7	0	0	0	1
QUAL	0	86.8	23	18	5	4
QUAL	0	87.0	0	0	0	2
QUAL	0	87.3	1	0	1	0
QUAL	0	87.5	0	0	0	1
QUAL	0	87.6	192	132	60	30
QUAL	0	87.8	49	36	13	19
QUAL	0	87.9	0	0	0	1
QUAL	0	88.0	2	1	1	1
QUAL	0	88.1	0	0	0	1
QUAL	0	88.2	1	1	0	1
QUAL	0	88.3	1	1	0	0
QUAL	0	88.6	212	154	58	31
QUAL	0	88.8	83	66	17	6
QUAL	0	88.9	1	1	0	2
QUAL	0	89.0	0	0	0	2
QUAL	0	89.1	3	3	0	2
QUAL	0	89.6	168	119	49	46
QUAL	0	89.8	124	97	27	22
QUAL	0	90.0	0	0	0	1
QUAL	0	90.1	1	0	1	0
QUAL	0	90.6	188	139	49	40
QUAL	0	90.7	0	0	0	1
QUAL	0	90.8	169	139	30	4
QUAL	0	90.9	1	1	0	0
QUAL	0	91.0	0	0	0	4
QUAL	0	91.1	4	3	1	5
QUAL	0	91.6	200	130	70	38
QUAL	0	91.8	185	139	46	5
QUAL	0	92.0	0	0	0	2
QUAL	0	92.1	5	4	1	10
QUAL	0	92.4	0	0	0	1
QUAL	0	92.6	183	113	70	42
QUAL	0	92.8	193	131	62	8
QUAL	0	93.0	0	0	0	1
QUAL	0	93.1	8	6	2	8
QUAL	0	93.6	221	148	73	28
QUAL	0	93.8	162	111	51	32
QUAL	0	93.9	0	0	0	1
QUAL	0	94.0	0	0	0	4
QUAL	0	94.1	4	3	1	3
QUAL	0	94.6	209	137	72	33
QUAL	0	94.8	125	99	26	9
QUAL	0	94.9	1	0	1	0
QUAL	0	95.0	1	1	0	2
QUAL	0	95.1	4	2	2	0
QUAL	0	95.6	201	134	67	25
QUAL	0	95.8	131	97	34	4
QUAL	0	96.0	0	0	0	1
QUAL	0	96.1	4	3	1	2
QUAL	0	96.3	1	1	0	0
QUAL	0	96.4	0	0	0	1
QUAL	0	96.6	175	107	68	21
QUAL	0	96.7	0	0	0	1
QUAL	0	96.8	116	73	43	13
QUAL	0	96.9	0	0	0	1
QUAL	0	97.0	0	0	0	2
QUAL	0	97.1	1	1	0	5
QUAL	0	97.2	0	0	0	1
QUAL	0	97.3	2	1	1	0
QUAL	0	97.4	0	0	0	1
QUAL	0	97.6	210	139	71	54
QUAL	0	97.8	119	85	34	10
QUAL	0	97.9	0	0	0	2
QUAL	0	98.0	2	1	1	3
QUAL	0	98.1	3	1	2	6
QUAL	0	98.3	1	0	1	0
QUAL	0	98.6	195	136	59	33
QUAL	0	98.8	109	73	36	75
QUAL	0	98.9	0	0	0	2
QUAL	0	99.0	0	0	0	1
QUAL	0	99.1	8	6	2	16
QUAL	0	99.4	0	0	0	1
QUAL	0	99.6	199	127	72	33
QUAL	0	99.8	99	73	26	9
QUAL	0	99.9	0	0	0	3
QUAL	0	100.0	1	0	1	2
QUAL	0	100.1	9	4	5	7
QUAL	0	100.6	243	152	91	34
QUAL	0	100.8	74	40	34	5
QUAL	0	100.9	1	1	0	1
QUAL	0	101.0	0	0	0	2
QUAL	0	101.1	8	5	3	14
QUAL	0	101.2	0	0	0	1
QUAL	0	101.6	180	131	49	33
QUAL	0	101.7	0	0	0	1
QUAL	0	101.8	133	98	35	15
QUAL	0	101.9	0	0	0	3
QUAL	0	102.0	0	0	0	1
QUAL	0	102.1	11	10	1	7
QUAL	0	102.2	0	0	0	1
QUAL	0	102.6	189	131	58	37
QUAL	0	102.8	70	52	18	5
QUAL	0	102.9	1	0	1	0
QUAL	0	103.0	0	0	0	2
QUAL	0	103.1	20	12	8	4
QUAL	0	103.6	211	141	70	43
QUAL	0	103.8	82	60	22	2
QUAL	0	103.9	1	1	0	0
QUAL	0	104.0	1	0	1	5
QUAL	0	104.1	34	27	7	1
QUAL	0	104.2	0	0	0	1
QUAL	0	104.5	0	0	0	1
QUAL	0	104.6	176	120	56	27
QUAL	0	104.7	0	0	0	1
QUAL	0	104.8	100	75	25	17
QUAL	0	104.9	0	0	0	1
QUAL	0	105.0	2	1	1	4
QUAL	0	105.1	59	39	20	4
QUAL	0	105.4	0	0	0	1
QUAL	0	105.6	174	116	58	27
QUAL	0	105.7	1	0	1	1
QUAL	0	105.8	120	77	43	4
QUAL	0	106.1	37	22	15	8
QUAL	0	106.2	0	0	0	1
QUAL	0	106.3	1	0	1	0
QUAL	0	106.6	226	138	88	57
QUAL	0	106.7	0	0	0	1
QUAL	0	106.8	137	99	38	11
QUAL	0	106.9	0	0	0	3
QUAL	0	107.0	0	0	0	5
QUAL	0	107.1	47	30	17	0
QUAL	0	107.6	161	111	50	18
QUAL	0	107.8	153	96	57	42
QUAL	0	107.9	0	0	0	1
QUAL	0	108.0	0	0	0	3
QUAL	0	108.1	34	25	9	16
QUAL	0	108.6	163	107	56	22
QUAL	0	108.8	169	123	46	6
QUAL	0	108.9	0	0	0	2
QUAL	0	109.1	31	22	9	4
QUAL	0	109.2	0	0	0	1
QUAL	0	109.6	257	169	88	70
QUAL	0	109.8	136	89	47	7
QUAL	0	109.9	2	1	1	3
QUAL	0	110.0	2	2	0	1
QUAL	0	110.1	35	24	11	9
QUAL	0	110.2	0	0	0	1
QUAL	0	110.3	1	1	0	0
QUAL	0	110.4	0	0	0	1
QUAL	0	110.6	167	122	45	20
QUAL	0	110.7	0	0	0	1
QUAL	0	110.8	186	115	71	13
QUAL	0	110.9	0	0	0	2
QUAL	0	111.1	22	13	9	9
QUAL	0	111.6	124	94	30	27
QUAL	0	111.7	0	0	0	1
QUAL	0	111.8	172	114	58	8
QUAL	0	111.9	3	1	2	2
QUAL	0	112.0	0	0	0	1
QUAL	0	112.1	15	13	2	1
QUAL	0	112.4	0	0	0	1
QUAL	0	112.5	1	0	1	0
QUAL	0	112.6	286	184	102	70
QUAL	0	112.7	0	0	0	1
QUAL	0	112.8	136	89	47	7
QUAL	0	112.9	1	0	1	1
QUAL	0	113.0	0	0	0	2
QUAL	0	113.1	35	21	14	12
QUAL	0	113.2	0	0	0	1
QUAL	0	113.6	149	104	45	23
QUAL	0	113.8	122	76	46	14
QUAL	0	113.9	3	1	2	1
QUAL	0	114.1	14	8	6	4
QUAL	0	114.6	148	95	53	18
QUAL	0	114.7	0	0	0	1
QUAL	0	114.8	53	36	17	5
QUAL	0	114.9	2	1	1	0
QUAL	0	115.0	1	1	0	1
QUAL	0	115.1	32	22	10	1
QUAL	0	115.2	0	0	0	1
QUAL	0	115.6	335	202	133	82
QUAL	0	115.7	0	0	0	1
QUAL	0	115.8	30	14	16	12
QUAL	0	115.9	2	2	0	1
QUAL	0	116.1	48	26	22	7
QUAL	0	116.2	0	0	0	2
QUAL	0	116.4	0	0	0	1
QUAL	0	116.6	156	106	50	24
QUAL	0	116.8	26	18	8	11
QUAL	0	116.9	1	1	0	3
QUAL	0	117.0	1	1	0	1
QUAL	0	117.1	39	28	11	8
QUAL	0	117.5	0	0	0	2
QUAL	0	117.6	143	100	43	22
QUAL	0	117.8	9	4	5	6
QUAL	0	117.9	3	2	1	4
QUAL	0	118.0	0	0	0	4
QUAL	0	118.1	37	23	14	0
QUAL	0	118.2	1	1	0	0
QUAL	0	118.6	150	105	45	25
QUAL	0	118.8	10	7	3	2
QUAL	0	118.9	8	4	4	1
QUAL	0	119.0	0	0	0	5
QUAL	0	119.1	57	38	19	2
QUAL	0	119.2	0	0	0	2
QUAL	0	119.6	142	97	45	17
QUAL	0	119.7	0	0	0	1
QUAL	0	119.8	7	4	3	11
QUAL	0	119.9	11	6	5	3
QUAL	0	120.0	1	0	1	1
QUAL	0	120.1	47	31	16	6
QUAL	0	120.2	1	0	1	0
QUAL	0	120.6	151	107	44	17
QUAL	0	120.7	0	0	0	1
